"Year
of
Death","Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2004,Northeastern,Maine,All,29
2004,Northeastern,Massachusetts,Male,60-70
2004,Northeastern,Massachusetts,Female,<10
2004,Northeastern,Massachusetts,All,68
2004,Northeastern,New Hampshire,Male,20-30
2004,Northeastern,New Hampshire,Female,<10
2004,Northeastern,New Hampshire,All,28
2004,Northeastern,New Jersey,Male,90-100
2004,Northeastern,New Jersey,Female,<10
2004,Northeastern,New Jersey,All,97
2004,Northeastern,New York,Male,170-180
2004,Northeastern,New York,Female,<10
2004,Northeastern,New York,All,180
2004,Northeastern,Pennsylvania,Male,240-250
2004,Northeastern,Pennsylvania,Female,<10
2004,Northeastern,Pennsylvania,All,248
2004,Northeastern,Rhode Island,Male,10-20
2004,Northeastern,Rhode Island,Female,<10
2004,Northeastern,Rhode Island,All,16
2004,Northeastern,Vermont,Male,10-20
2004,Northeastern,Vermont,Female,<10
2004,Northeastern,Vermont,All,20
2004,Midwestern,Illinois,Male,150-160
2004,Midwestern,Illinois,Female,<10
2004,Midwestern,Illinois,All,164
2004,Midwestern,Indiana,Male,130-140
2004,Midwestern,Indiana,Female,<10
2004,Midwestern,Indiana,All,133
2004,Midwestern,Iowa,Male,50-60
2004,Midwestern,Iowa,Female,<10
2004,Midwestern,Iowa,All,57
2004,Midwestern,Kansas,Male,60-70
2004,Midwestern,Kansas,Female,<10
2004,Midwestern,Kansas,All,67
2004,Midwestern,Michigan,Male,200-210
2004,Midwestern,Michigan,Female,<10
2004,Midwestern,Michigan,All,203
2004,Midwestern,Minnesota,Male,100-110
2004,Midwestern,Minnesota,Female,<10
2004,Midwestern,Minnesota,All,108
2004,Midwestern,Missouri,Male,130-140
2004,Midwestern,Missouri,Female,<10
2004,Midwestern,Missouri,All,144
2004,Midwestern,Nebraska,Male,30-40
2004,Midwestern,Nebraska,Female,<10
2004,Midwestern,Nebraska,All,32
2004,Midwestern,North Dakota,Male,10-20
2004,Midwestern,North Dakota,Female,<10
2004,Midwestern,North Dakota,All,14
2004,Midwestern,Ohio,Male,210-220
2004,Midwestern,Ohio,Female,<10
2004,Midwestern,Ohio,All,226
2004,Midwestern,South Dakota,Male,20-30
2004,Midwestern,South Dakota,Female,<10
2004,Midwestern,South Dakota,All,22
2004,Midwestern,Wisconsin,Male,90-100
2004,Midwestern,Wisconsin,Female,<10
2004,Midwestern,Wisconsin,All,96
2004,Southern,Alabama,Male,110-120
2004,Southern,Alabama,Female,<10
2004,Southern,Alabama,All,112
2004,Southern,Arkansas,Male,80-90
2004,Southern,Arkansas,Female,<10
2004,Southern,Arkansas,All,90
2004,Southern,Delaware,Male,10-20
2004,Southern,Delaware,Female,<10
2004,Southern,Delaware,All,15
2004,Southern,District of Columbia,Male,<10
2004,Southern,District of Columbia,Female,<10
2004,Southern,District of Columbia,All,<10
2004,Southern,Florida,Male,460
2004,Southern,Florida,Female,22
2004,Southern,Florida,All,482
2004,Southern,Georgia,Male,180-190
2004,Southern,Georgia,Female,<10
2004,Southern,Georgia,All,187
2004,Southern,Kentucky,Male,110-120
2004,Southern,Kentucky,Female,<10
2004,Southern,Kentucky,All,116
2004,Southern,Louisiana,Male,100-110
2004,Southern,Louisiana,Female,<10
2004,Southern,Louisiana,All,108
2004,Southern,Maryland,Male,90-100
2004,Southern,Maryland,Female,<10
2004,Southern,Maryland,All,97
2004,Southern,Mississippi,Male,70-80
2004,Southern,Mississippi,Female,<10
2004,Southern,Mississippi,All,77
2004,Southern,North Carolina,Male,180-190
2004,Southern,North Carolina,Female,<10
2004,Southern,North Carolina,All,192
2004,Southern,Oklahoma,Male,100-110
2004,Southern,Oklahoma,Female,<10
